gps_waypoint,gps_id,site,individual_id,date,limpet_location_solar_refuge_category,moving,length_in,length_tenth_mm,width_in,width_tenth_mm,height_ww_in,height_ww_tenth_mm,path_to_ocean,surface_angle,dist_to_open_h2o_ft,dist_to_shelter_ft,dist_to_underrock_ft,shelter_type,dist_to_littpint_ft,dist_to_crustose_ft,compass_surface,compass_ocean,pics,camera_type,color_ribs,erosion,color_interrib,rock_move,substrate,notes,limu_on_shell,spot_on_transect,spot_notes,altitude_est_hypotenuse_ft,altitude_est_adjacent_ft,altitude_est_angle_deg,altitude_est_opposite_ft,shore_type,width_cm,length_cm,height_ww_cm,length_imputed,width_imputed,height_imputed,length_invalid,length_predicted_cm,width_predicted_cm,height_predicted_cm,height_index,width_index,est_surface_area_cm2,cross_sectional_area_cm2,thermal_dissipation_index,width_cm_normalized,height_ww_cm_normalized,compass_surface_relative_ocean,shore,substrate_subtype,est_surface_area_cm2_normalized,cross_sectional_area_cm2_normalized,thermal_dissipation_index_normalized,height_index_normalized,width_index_normalized,dist_to_open_h2o_cm,dist_to_shelter_cm,dist_to_underrock_cm,dist_to_littpint_cm,dist_to_crustose_cm,altitude_est_hypotenuse_cm,altitude_est_adjacent_cm,altitude_est_opposite_cm
48,NA,KahuluiBreakwaterBasaltInside,1,6/12/2023,refuge,y,1.72,NA,1.43,NA,0.43,NA,y,53,0,0,NA,underrock,1.52,-0.9,170,107,1-2,digital,100black,0,tanbrown,n,basalt,NA,0,boulder,boulder,NA,NA,NA,NA,bb,3.6322,4.3688,1.0922,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.25,0.8313953488372092,14.240234726601097,12.462977155882054,1.142602971062997,3.0091870730334165,0.9070143670291053,63,north,NA,9.732858906786387,8.508998884272065,1.143831259018789,0.251927030990417,0.8358142853758403,0,0,NA,46.3296,-27.432000000000002,NA,NA,NA
48,NA,KahuluiBreakwaterBasaltInside,2,6/12/2023,exposed,n,1.06,NA,0.85,NA,0.29,NA,y,83.5,-0.45,-0.95,NA,crevice,1,-0.95,354,107,3-4,digital,100black,0,tanbrown,n,basalt,NA,0,boulder,boulder,NA,NA,NA,NA,bb,2.159,2.6924,0.7365999999999999,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.2735849056603773,0.8018867924528301,5.366813768175026,4.565434386668454,1.1755319020347075,2.8641424917900755,0.9736947215480163,113,north,NA,9.502886402460511,8.098860149120192,1.173360970246269,0.27044777812517395,0.7955275467726021,-13.716000000000001,-28.956,NA,30.48,-28.956,NA,NA,NA
50,NA,KahuluiBreakwaterBasaltInside,3,6/12/2023,exposed,n,1.48,NA,1.19,NA,0.44,NA,y,75.7,-2.87,-1.1,NA,crevice,2.78,-2.87,85,123,5-6,digital,100black,0,brown,n,basalt,NA,0,boulder,boulder,NA,NA,NA,NA,bb,3.0225999999999997,3.7592,1.1176,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.2972972972972973,0.8040540540540541,10.743826351136764,8.924132121865128,1.2039071367862406,2.8982680793804407,1.072197432120339,38,north,NA,9.86952145175962,8.195356172692042,1.2042821866176003,0.29780731764412993,0.8050060713417374,-87.47760000000001,-33.528000000000006,NA,84.7344,-87.47760000000001,NA,NA,NA
49,NA,KahuluiBreakwaterBasaltInside,4,6/12/2023,exposed,n,1.47,NA,1.23,NA,0.39,NA,y,56.3,-1.49,-0.8,NA,underrock,4.45,-1.49,64,97,7-8,digital,100black,0,tan,n,basalt,all dist 0.15ft longer than should be,0,boulder,boulder,NA,NA,NA,NA,bb,3.1242,3.7338,0.9906,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.2653061224489796,0.8367346938775511,10.611485282221011,9.161777929561856,1.1582342820143519,3.0155074738921135,0.9565644026836637,33,north,NA,9.87828621002266,8.526870915006462,1.158489005930398,0.265689760470447,0.8375698031282397,-45.4152,-24.384,NA,135.636,-45.4152,NA,NA,NA
49,NA,KahuluiBreakwaterBasaltInside,5,6/12/2023,refuge,n,1.35,NA,1.11,NA,0.37,NA,y,81.4,-0.94,0,NA,crevice,3.45,-0.94,181,97,9-10,digital,100black,0,black,n,basalt,all dist 0.15ft longer than should be,0,boulder,boulder,NA,NA,NA,NA,bb,2.8194000000000004,3.4290000000000003,0.9398,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.274074074074074,0.8222222222222223,8.893822362316056,7.593011574276006,1.1713168451431055,2.9563000039065153,0.984843145019547,84,north,NA,9.788530052977299,8.359451514410617,1.170953624900286,0.27354429933531316,0.8211246809029075,-28.6512,0,NA,105.156,-28.6512,NA,NA,NA
50,NA,KahuluiBreakwaterBasaltInside,6,6/12/2023,refuge,n,1.49,NA,1.24,NA,0.44,NA,n,22,-6.4,0,NA,underrock,1.9,-0.5,312,98,11-12,digital,100black,0,tanbrown,y,basalt,all dist 0.15ft longer than should be,0,boulder,boulder,NA,NA,NA,NA,bb,3.1496,3.7846,1.1176,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.29530201342281875,0.832214765100671,11.178400095371057,9.36192738380537,1.194027643784964,3.0003288382086355,1.0652861523061543,146,north,NA,10.133649289278322,8.483950687396522,1.1944493388360375,0.2958876807924728,0.8333538736333752,-195.072,0,NA,57.912,-15.24,NA,NA,NA
51,NA,KahuluiBreakwaterBasaltInside,7,6/12/2023,exposed,n,1.32,NA,1.06,NA,0.38,NA,y,36.3,-1.6,-1.6,NA,crevice,8,-1.6,128,106,13-14,digital,100black,0,tan,n,concrete,all dist 0.15ft longer than should be,0,boulder,boulder,NA,NA,NA,NA,bb,2.6924,3.3528000000000002,0.9652000000000001,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.2878787878787879,0.803030303030303,8.45461895247037,7.089851047532189,1.1924959912117228,2.885518154447768,1.0335260329320315,22,north,NA,9.725171735782292,8.159303546386793,1.191911991077831,0.28706617490604264,0.801464726407853,-48.768,-48.768,NA,243.84,-48.768,NA,NA,NA
52,NA,KahuluiBreakwaterBasaltInside,8,6/12/2023,exposed,n,1.33,NA,1.06,NA,0.34,NA,y,52.9,-0.78,-0.28,NA,crevice,5.5,-0.78,96,110,15-16,digital,100black,0,tan,n,basalt,all dist 0.15ft longer than should be,0,boulder,boulder,NA,NA,NA,NA,bb,2.6924,3.3782,0.8636,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.2556390977443609,0.7969924812030076,8.256741877052523,7.143562040316524,1.1558297989789243,2.864414803807264,0.9180558856896818,14,north,NA,9.358338907563663,8.099630158625812,1.155403237467253,0.25499385894254256,0.7956031825734086,-23.7744,-8.534400000000002,NA,167.64000000000001,-23.7744,NA,NA,NA
51,NA,KahuluiBreakwaterBasaltInside,9,6/12/2023,refuge,n,1.15,NA,0.89,NA,0.31,NA,y,81.1,-0.85,0,NA,underrock,2.8,-0.85,282,106,17-19,digital,100black,0,tan,n,basalt,all dist 0.15ft longer than should be,0,boulder,boulder,NA,NA,NA,NA,bb,2.2606,2.921,0.7874,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.26956521739130435,0.773913043478261,6.10805136023406,5.1861510485628894,1.1777619477409231,2.7704062352201264,0.9624965916921416,176,north,NA,9.21418159852719,7.833804609796239,1.1762077378091327,0.26733745075905285,0.7694919097725264,-25.908,0,NA,85.344,-25.908,NA,NA,NA
52,NA,KahuluiBreakwaterBasaltInside,10,6/12/2023,refuge,n,1.38,NA,1.12,NA,0.37,NA,y,71.8,-0.34,0,NA,crevice,2.56,-0.34,88,110,20-21,digital,100black,0,tan,n,basalt,all dist 0.15ft longer than should be,0,boulder,boulder,NA,NA,NA,NA,bb,2.8448,3.5052,0.9398,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,0.26811594202898553,0.8115942028985508,9.138369662138006,7.831670796930926,1.1668480326980992,2.919844807071552,0.964274296231109,22,north,NA,9.632330629312474,8.256368116248227,1.1666546953443613,0.267831215624043,0.8109990976303012,-10.3632,0,NA,78.0288,-10.3632,NA,NA,NA
